Dataset,Location,Period,Site Conditions,Description,References
**Homogeneous ABL**,,,,,
Cabauw/  GABLS3,Netherlands, Since 2008, Onshore flat terrain,200-m tall mast for atmospheric boundary-layer research in horizontally homogeneous conditions. GABLS3 is a diurnal cycle developing a strong nocturnal low-level jet,":cite:`cesar_2020`, :cite:`bosveld_third_2014`, :cite:`rodrigo_results_2017`, :cite:`rodrigo_windbenchgabls3_2020`, :cite:`rodrigo_comparing_2018`, :cite:`rodrigo_windbenchnewamesomicrochallengephase1_2018`"
**Coastal and Offshore**,,,,,
Satellite SAR,Global,Since 2002, Offshore surface-layer,Satellite SAR wind data archive from 2002,":cite:`hasager_europes_2020`, :cite:`dtu_satellite_2020`"
NEWA-RUNE,Denmark,2015-11 to 2016-02,Near-shore,"Near-shore wind resource from 8 lidars, one ocean buoy and satelite data", :cite:`floors_rune_2016`
NEWA-Ferry Lidar,Baltic Sea,2017-02 to 2017-06,Offshore,Offshore wind resource from a ferry-mounted profiling lidar along the South Baltic Sea from Kiel (Germany) to Klaipeda (Lithuania),":cite:`gottschall_newa_2018`, :cite:`sanz_rodrigo_report_2019`"
**Roughness Changes and Canopies**,,,,,
Ryningsnäs,Sweden,2011-10 to 2012-06,Forested simple terrain,200-m tall mast in a patchy forested site in simple terrain conditions,":cite:`arnqvist_wind_2015`, :cite:`arnqvist_investigation_2019`, :cite:`avila_daily_2019`, :cite:`ivanell_micro-scale_2018`, :cite:`sanz_rodrigo_report_2017`"
NEWA-Østerild Balconies,Denmark,2016-04 to 2016-08,Forested flat terrain,"Two horizontally scanning Doppler lidars, mounted on 250-m high masts and measuring at 50 and 200 m the flow above patchy forest", :cite:`karagali_new_2018`
**Isolated hill**,,,,,
Askervein,Scothland,1982-1983,Smooth hill,"116 m high smooth hill isolated in all wind directions but the NE-E sector. Over 50 masts installed, 35 of them of 10 m height installed along transects following the main axes of the hill",":cite:`taylor_askervein_1987`, :cite:`walmsley_boundary-layer_1996`, :cite:`mickle_askervein_1988`, :cite:`kim_test_2000`, :cite:`castro_simulation_2003`, :cite:`silva_lopes_simulation_2007`, :cite:`undheim_non-linear_2006`, :cite:`bechmann_large-eddy_2007`, :cite:`beljaars_mixed_1987`, :cite:`raithby_askervein_1987`, :cite:`salmon_askervein_1988`, :cite:`xu_non-linear_1992`, :cite:`bechmann_hybrid_2010`, :cite:`chow_evaluation_2009`, :cite:`conan_experimental_2016`"
NEWA-Rödeser Berg (Kassel),Germany,Forested hill,2016-10 to 2017-01,"200-m tall forested hill equipped with a 200-m mast at the hill top, a 140-m mast at the inflow and scanning Doppler lidars mapping a transect along the prevailing wind direction",":cite:`dorenkamper_large-eddy_2019`, :cite:`sanz_rodrigo_report_2018`, :cite:`sanz_rodrigo_report_2019`"
**Undulating Terrain**,,,,,
NEWA-Hornamossen,Sweden, 2015-06 to 2017-07,Forested rolling hills,10-km long transect consisting of 9 remote sensing profilers and one 180-m flux-profile mast in forested and moderately complex terrain. Surface pressure gradient measurements,":cite:`sanz_rodrigo_report_2019`, :cite:`mann_complex_2017`"
**Steep Ridges**,,,,,
Bolund,Denmark,2007-2008,Small isolated ridge,12-m high hill surrounded by water in all directions except to the E. An almost vertical escarpment faces the prevailing W-SW sector. 10 masts equiped with sonic and cap anemometers.,":cite:`bechmann_bolund_2009`, :cite:`berg_bolund_2011`, :cite:`bechmann_bolund_2011`, :cite:`prospathopoulos_application_2012`, :cite:`diebold_flow_2013`, :cite:`yeow_reproducing_2015`"
NEWA-Perdigão ,Portugal,2016-12 to 2017-06,Double ridge,"50 masts, 20 scanning lidars, 7 profiling lidars and other meteorological equipment distributed along and across two parallel steep ridges",":cite:`fernando_perdigao_2019`, :cite:`ncar_perdigao_2020`, :cite:`feup_perdigao_2020`"
**Mountaineous complex terrain**,,,,,
NEWA-Alaiz (ALEX17),Spain,2017-07 to 2019-07,Ridge-valley-mountain,"5 scanning Doppler lidars measuring a Z-shaped 10-km long transect along the ridge tops and the across the valley together with a windRASS profiler, 7 tall masts and 10 surface stations",":cite:`cantero_alaiz_2019`, :cite:`santos_alaiz_2019`, :cite:`santos_alaiz_2020`"
